sortid,genelist,drdist,FC,pValues,pAdjusted
3320,EREG,7.78036651787317e-08,0.00023781356107329,0.98769614636071,0.999999999999955
11425,ZNF224,7.7644584968728e-08,0.000237327318797295,0.987708730254656,0.999999999999955
2006,CEP57L1,7.72377157812341e-08,0.000236083688305767,0.987740974055077,0.999999999999955
10587,TTC13,7.72260123506005e-08,0.000236047915768453,0.987741902790503,0.999999999999955
5056,KIAA1257,7.71249849132838e-08,0.000235739116760344,0.987749922834672,0.999999999999955
4837,IQCB1,7.71036143881876e-08,0.000235673795921494,0.987751620002919,0.999999999999955
2053,CFL2,7.70959895734323e-08,0.000235650490022661,0.987752225594513,0.999999999999955
7144,PHLPP1,7.68600097640274e-08,0.000234929197540012,0.987770982833686,0.999999999999955
7320,PLPP1,7.68023644915983e-08,0.000234752999831537,0.987775569237422,0.999999999999955
507,AL109918.1,7.67617176277611e-08,0.000234628759213651,0.987778804239794,0.999999999999955
9070,SLC35A1,7.67394963448535e-08,0.000234560837960742,0.987780573149336,0.999999999999955
4766,IMMP1L,7.64931977900848e-08,0.000233808005349808,0.987800196753556,0.999999999999955
7919,RABL3,7.63387843732712e-08,0.000233336027526584,0.987812515615543,0.999999999999955
4700,IGHG1,7.63131352722193e-08,0.000233257628854163,0.9878145630674,0.999999999999955
11751,ZPR1,7.61609049738381e-08,0.000232792323919259,0.98782672201373,0.999999999999955
7168,PIEZO1,7.59674322962994e-08,0.000232200958122929,0.987842192626941,0.999999999999955
11205,YWHAE,7.59492340327406e-08,0.00023214533357295,0.987843648824063,0.999999999999955
9200,SMARCAD1,7.56875646787721e-08,0.000231345518798825,0.987864606529934,0.999999999999955
9583,STIM1,7.56735672918221e-08,0.000231302734587713,0.987865728633384,0.999999999999955
2588,CYHR1,7.56427924261769e-08,0.000231208668577149,0.987868196071973,0.999999999999955
4343,HDAC4,7.56130756077462e-08,0.000231117836578443,0.987870579155935,0.999999999999955
6480,NIPA1,7.55264134482364e-08,0.000230852946271335,0.987877531539683,0.999999999999955
11504,ZNF398,7.54836961808815e-08,0.000230722377287912,0.987880959957035,0.999999999999955
9886,TDRD3,7.54692728898589e-08,0.000230678291264553,0.987882117765672,0.999999999999955
8779,SERF1B,7.53428988836343e-08,0.000230292018299413,0.987892266990868,0.999999999999955
2776,DGKD,7.51736528061342e-08,0.000229774703179418,0.987905872661184,0.999999999999955
14,AARSD1,7.50992818878219e-08,0.000229547382102917,0.987911856174293,0.999999999999955
5951,MRFAP1,7.49482989369752e-08,0.000229085889792501,0.987924012631154,0.999999999999955
8832,SFMBT1,7.47854108726878e-08,0.00022858800848401,0.987937141375349,0.999999999999955
11163,XPR1,7.47188374756418e-08,0.000228384521198573,0.987942511293802,0.999999999999955
2472,CSNK2A2,7.46807146319004e-08,0.000228267995464117,0.987945587421839,0.999999999999955
8953,SKI,7.46305721844114e-08,0.000228114730782165,0.987949634606383,0.999999999999955
9035,SLC25A44,7.46025463620076e-08,0.000228029067457532,0.987951897267838,0.999999999999955
7763,PTGS2,7.43701241661656e-08,0.000227318649125199,0.987970678251522,0.999999999999955
986,ATF7,7.42266027809447e-08,0.00022687996372868,0.987982290226088,0.999999999999955
3076,EDC4,7.39495191605024e-08,0.000226033033929922,0.988004740213434,0.999999999999955
3839,GAB1,7.38757328793476e-08,0.000225807499846927,0.988010725646899,0.999999999999955
9757,TAF5,7.38523647424392e-08,0.000225736073136616,0.988012621858743,0.999999999999955
6378,NDUFS2,7.38199901677227e-08,0.000225637117478372,0.988015249395565,0.999999999999955
4539,HPS6,7.35599215026666e-08,0.000224842195346895,0.98803637764352,0.999999999999955
4817,INTS6,7.34662027483303e-08,0.000224555735953795,0.988044000606769,0.999999999999955
11117,WEE1,7.33826564498822e-08,0.000224300369542678,0.988050800256661,0.999999999999955
2100,CHMP4C,7.3325514718375e-08,0.000224125710950125,0.98805545312656,0.999999999999955
559,AL773545.3,7.32562971769144e-08,0.000223914141610998,0.988061091720718,0.999999999999955
8620,SART1,7.32310465087651e-08,0.000223836960782842,0.988063149352,0.999999999999955
859,ARHGEF9,7.32210010840333e-08,0.00022380625608246,0.98806396803415,0.999999999999955
10903,USP5,7.31649619619493e-08,0.00022363496770997,0.988068536142298,0.999999999999955
6189,MYO18A,7.30136769739951e-08,0.000223172552197286,0.988080877097288,0.999999999999955
4767,IMMP2L,7.29492558637188e-08,0.000222975643560554,0.988086136081042,0.999999999999955
3954,GGH,7.29038897076957e-08,0.000222836978022224,0.988089840917379,0.999999999999955
8079,RCL1,7.27300630819983e-08,0.000222305662064659,0.988104047187604,0.999999999999955
4685,IFT80,7.26630019782309e-08,0.00022210068406189,0.988109532406401,0.999999999999955
10015,TIMM29,7.26569652652078e-08,0.000222082232331912,0.98811002629955,0.999999999999955
5344,LNPK,7.26145340693893e-08,0.000221952537750622,0.988113498383361,0.999999999999955
13,AARS2,7.25791270785054e-08,0.000221844313252848,0.98811639646325,0.999999999999955
11237,ZBTB34,7.25782403977491e-08,0.000221841603037234,0.988116469047587,0.999999999999955
2530,CUL4A,7.25473054490889e-08,0.000221747047719234,0.988119001682856,0.999999999999955
10881,USP22,7.24599768879261e-08,0.000221480120498443,0.988126154162635,0.999999999999955
10524,TRNT1,7.24510200948399e-08,0.000221452743293851,0.98812688799544,0.999999999999955
2265,CNOT9,7.23144399196027e-08,0.000221035274299677,0.98813808367701,0.999999999999955
11326,ZFP3,7.22718565537547e-08,0.000220905114597669,0.988141576461454,0.999999999999955
980,ATF2,7.20240333492203e-08,0.000220147621764246,0.988161923940272,0.999999999999955
2327,COPS5,7.19932701434348e-08,0.000220053591393041,0.988164452189044,0.999999999999955
3309,ERBB2,7.18041435864639e-08,0.000219475509886168,0.98818000728502,0.999999999999955
497,AKT2,7.17022773936832e-08,0.000219164147150203,0.988188393966602,0.999999999999955
4690,IGF1,7.15309013558577e-08,0.000218640321624191,0.988202516875903,0.999999999999955
5517,MAGEH1,7.15040494318547e-08,0.000218558246420482,0.988204731245965,0.999999999999955
9985,THOP1,7.1465177632152e-08,0.000218439431438034,0.98820793758369,0.999999999999955
5755,METTL2A,7.14119299347927e-08,0.000218276675294106,0.988212331132367,0.999999999999955
10870,USP11,7.13657991786448e-08,0.00021813567269006,0.988216138776085,0.999999999999955
3046,E2F4,7.11604314710127e-08,0.000217507948716269,0.988233104832727,0.999999999999955
6860,PACS2,7.10973135823381e-08,0.000217315023487893,0.988238324113336,0.999999999999955
985,ATF6B,7.06215844574887e-08,0.000215860916704789,0.988277737411699,0.999999999999955
8844,SGCB,7.04792280584113e-08,0.000215425792188117,0.988289557175805,0.999999999999955
