"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"2627",2.6234943851145e-83,-0.848150571380982,0.177,0.442,2.36849073088138e-79
"6228",2.97592975967127e-83,-0.63649779014246,0.447,0.692,2.68666938703122e-79
"3127",3.61941882101998e-83,-0.452089227731097,0.008,0.247,3.26761131161684e-79
"8813",4.04029502304031e-83,-0.714342201520196,0.422,0.68,3.6475783468008e-79
"2813",4.42067817976876e-83,0.589035372433494,0.962,0.779,3.99098826069524e-79
"1001",4.43463320193249e-83,-0.634381598412486,0.564,0.771,4.00358685470465e-79
"4088",5.0924574974208e-83,-0.72882499536006,0.196,0.501,4.5974706286715e-79
"4632",9.02651898541909e-83,0.526494760040342,0.596,0.176,8.14914134003636e-79
"1112",9.72233080774904e-83,0.622907580119129,0.806,0.421,8.77732025323583e-79
"2090",1.12479480796731e-82,-0.648369723707566,0.43,0.695,1.01546475263289e-78
"8682",1.12706544208781e-82,0.565637733679278,0.446,0.11,1.01751468111687e-78
"3615",1.21974139514879e-82,-0.614102832694874,0.526,0.737,1.10118253154033e-78
"610",1.43003305377805e-82,0.568430541309044,0.706,0.289,1.29103384095082e-78
"986",1.43214154457434e-82,-0.608372448054601,0.024,0.302,1.29293738644171e-78
"7175",1.70227882121323e-82,0.460653779144378,0.538,0.131,1.53681731979131e-78
"7184",2.04969536410751e-82,-0.63127018963005,0.633,0.772,1.85046497471626e-78
"642",3.20997118772685e-82,-0.506940481718264,0.068,0.381,2.8979619882798e-78
"4944",3.86589677290749e-82,-0.655125808998152,0.247,0.551,3.49013160658089e-78
"382",5.19513675667062e-82,-0.49107787791276,0.994,0.959,4.69016946392224e-78
"4533",6.55090718615397e-82,-1.14207623347203,0.139,0.442,5.9141590076598e-78
"2637",7.16625583247471e-82,-0.657201632472384,0.108,0.406,6.46969576555817e-78
"1447",9.42988512031339e-82,-0.664329847269343,0.286,0.558,8.51330028661893e-78
"2581",1.16786480396216e-81,-0.605393132057201,0.642,0.772,1.05434834501704e-77
"7775",1.3798356452929e-81,0.600727116575781,0.942,0.706,1.24571562057043e-77
"6830",1.48285994408944e-81,-0.66751223487136,0.203,0.51,1.33872595752394e-77
"8223",1.78301378619058e-81,-0.670653002881992,0.055,0.341,1.60970484617286e-77
"1433",2.03766820794522e-81,-0.402774434608684,0.004,0.23,1.83960685813295e-77
"7717",2.2926424460123e-81,-0.613161361419599,0.233,0.563,2.06979760025991e-77
"3670",2.79012161023852e-81,-0.63208852534051,0.236,0.538,2.51892178972333e-77
"1153",3.13308825358196e-81,-0.586407603950689,0.068,0.372,2.82855207533379e-77
"234",3.23167979123451e-81,0.604020454068545,0.786,0.395,2.91756051552652e-77
