sortid,genelist,drdist,FC,pValues,pAdjusted
1662,KLHL11,1.22048985229448e-16,0.0148666800965621,0.902955251362523,0.99999999991268
3667,ZEB1,1.21976380692153e-16,0.014857836201404,0.902983977944692,0.99999999991268
3503,TYMP,1.2126809779997e-16,0.0147715608820627,0.903264672330221,0.99999999991268
941,DPH1,1.21206805653084e-16,0.0147640949392819,0.903289001630686,0.99999999991268
1858,MCTP2,1.20754987356415e-16,0.0147090593479107,0.903468539297255,0.99999999991268
1084,ETFB,1.20732465808643e-16,0.0147063160178833,0.903477497526872,0.99999999991268
2637,REL,1.20090883484772e-16,0.0146281654364043,0.903733052012209,0.99999999991268
290,ARL6IP5,1.19755770963251e-16,0.014587345673385,0.903866809120672,0.99999999991268
1494,HTRA2,1.19736071815707e-16,0.0145849461374597,0.903874677761185,0.99999999991268
982,ECE1,1.19647325673273e-16,0.0145741360475037,0.903910134725235,0.99999999991268
521,CBX5,1.19641461247676e-16,0.0145734217069531,0.903912478223445,0.99999999991268
