Ligand.ApprovedSymbol	Receptor.ApprovedSymbol
FGF5	FGFR1
FGF5	FGFR2
FGF5	FGFR3
FGF5	FGFR4
FGF6	FGFR1
FGF6	FGFR2
FGF6	FGFR3
FGF6	FGFR4
FGF6	SDC4
FGF7	FGFR1
FGF7	FGFR2
FGF7	FGFR3
FGF7	FGFR4
FGF7	NRP1
FGF8	FGFR1
FGF8	FGFR2
FGF8	FGFR3
FGF8	FGFR4
FGF9	FGFR1
FGF9	FGFR2
FGF9	FGFR3
FGF9	FGFR4
FGG	ITGA2B
FGG	ITGA5
FGG	ITGAV
FGG	ITGB1
FGG	ITGB2
FGL1	EGFR
FIGF	FLT1
FIGF	FLT4
FIGF	ITGA1
FIGF	ITGA2
FIGF	ITGA4
FIGF	ITGA5
FIGF	ITGA9
FIGF	ITGB1
FIGF	KDR
FIGF	NRP2
FLT3LG	FLT3
FN1	C5AR1
FN1	CD44
FN1	CD79A
FN1	COL13A1
FN1	FLT4
FN1	IL17RC
FN1	ITGA2
FN1	ITGA2B
FN1	ITGA3
FN1	ITGA4
FN1	ITGA5
FN1	ITGA6
FN1	ITGA8
FN1	ITGA9
FN1	ITGAV
FN1	ITGB1
FN1	ITGB3
FN1	ITGB6
FN1	ITGB7
FN1	ITGB8
FN1	MAG
FN1	NT5E
FN1	PLAUR
FN1	ROBO4
FN1	SDC2
FN1	TMPRSS6
FN1	TNFRSF11B
FN1	TSHR
FSHB	FSHR
FST	BMPR1B
FST	BMPR2
FST	HFE2
GALP	GALR1
GALP	GALR2
GALP	GALR3
GAL	GALR1
GAL	GALR2
GAL	GALR3
GAL	GPR151
GAS6	AXL
GAS6	MERTK
GAS6	TYRO3
GAST	CCKBR
GCG	GCGR
GCG	GLP1R
GCG	GLP2R
GDF10	ACVR1B
GDF11	ACVR1B
GDF11	ACVR2A
GDF11	ACVR2B
GDF2	ACVR1
GDF2	ACVR2A
GDF2	ACVR2B
GDF2	ACVRL1
GDF2	BMPR2
GDF2	ENG
GDF5	ACVR1
GDF5	ACVR2A
GDF5	ACVR2B
GDF5	BMPR1A
GDF5	BMPR1B
GDF5	BMPR2
GDF5	ROR2
GDF6	BMPR1A
GDF6	BMPR1B
GDF6	BMPR2
GDF7	ACVR2A
GDF7	BMPR1A
GDF7	BMPR2
GDF9	ACVR2A
GDF9	BMPR1A
GDF9	BMPR1B
GDF9	BMPR2
GDF9	FXYD6
GDF9	ORAI2
GDF9	TGFBR1
GDNF	EDNRB
GDNF	GFRA1
GDNF	GFRA2
GDNF	RET
GDNF	SLC44A5
GH1	GHR
GH1	PRLR
GH2	GHR
GHRH	GHRHR
GHRH	VIPR1
GHRL	GHRHR
GHRL	GHSR
GHRL	GPR39
GHRL	MLNR
GIP	DPP4
GIP	GIPR
GIP	INSR
GNAI2	ADCY1
GNAI2	ADCY7
GNAI2	ADCY8
GNAI2	ADCY9
GNAI2	ADORA1
GNAI2	ADRA2A
GNAI2	ADRA2B
GNAI2	AGTR2
GNAI2	C5AR1
GNAI2	CAV1
GNAI2	CCR5
GNAI2	CHRM1
GNAI2	CNR1
GNAI2	CXCR1
GNAI2	CXCR2
GNAI2	CXCR3
GNAI2	DRD2
GNAI2	EDNRA
GNAI2	EDNRB
GNAI2	EGFR
GNAI2	F2R
GNAI2	FPR1
GNAI2	IGF1R
GNAI2	LHCGR
GNAI2	LPAR3
GNAI2	MTNR1A
GNAI2	MTNR1B
GNAI2	OPRD1
GNAI2	OPRM1
GNAI2	P2RY12
GNAI2	PTPRU
GNAI2	S1PR1
GNAI2	S1PR3
GNAI2	S1PR4
GNAI2	S1PR5
GNAI2	TBXA2R
GNAI2	TSHR
GNAI2	UNC5B
GNAS	ADCY1
GNAS	ADCY7
GNAS	ADCY8
GNAS	ADCY9
GNAS	ADORA1
GNAS	ADRB3
GNAS	AVPR2
GNAS	CRHR1
GNAS	GCGR
GNAS	GLP1R
GNAS	HTR6
GNAS	LHCGR
GNAS	PTGDR
GNAS	PTGIR
GNAS	TSHR
GNAS	VIPR1
GNB3	GABBR2
GNB3	TGFBR1
GNRH1	GNRHR
GNRH2	GNRHR
GPC3	CD81
GPC3	IGF1R
GPHA2	TSHR
GPI	AMFR
GREM1	KDR
GRP	BRS3
GRP	GRPR
GRP	NMBR
GSTP1	TRAF2
GUCA2A	GUCY2C
GUCA2B	GUCY2C
GUCA2B	GUCY2D
GZMB	CHRM3
GZMB	IGF2R
GZMB	PGRMC1
HAS2	CD44
HAS2	HMMR
HBEGF	CD44
HBEGF	CD82
HBEGF	CD9
HBEGF	EGFR
HBEGF	ERBB2
HBEGF	ERBB4
HBEGF	PRLR
HCRT	HCRTR1
HCRT	HCRTR2
HCRT	NPFFR2
HEBP1	FPR3
HGF	CD44
HGF	MET
HGF	SDC1
HGF	SDC2
HGF	ST14
HHIPL2	CACHD1
HHLA3	CHRM3
HLA-A	APLP2
HLA-A	CD3D
HLA-A	CD3G
HLA-A	ERBB2
HLA-A	KIR2DL1
HLA-A	KIR2DL3
HLA-A	KIR3DL1
HLA-A	KIR3DL2
HLA-A	LILRB1
HLA-A	LILRB2
HLA-B	CANX
HLA-B	CD3D
HLA-B	CD3G
HLA-B	KIR2DL3
HLA-B	KIR3DL1
HLA-B	KLRD1
HLA-B	LILRB1
HLA-B	LILRB2
HLA-C	CD3D
HLA-C	CD3G
HLA-C	DDR1
HLA-C	KIR2DL1
HLA-C	KIR2DL3
HLA-C	KIR2DS4
HLA-C	KIR3DL1
HLA-C	LILRA3
HLA-C	LILRB1
HLA-C	LILRB2
HLA-C	NOTCH4
HLA-C	SLC9C2
HLA-E	KIR3DL1
HLA-E	KLRC1
HLA-E	KLRC2
HLA-E	KLRD1
HLA-E	SLC16A4
HLA-G	CD4
HLA-G	KIR2DL4
HLA-G	KLRC1
HLA-G	KLRD1
HLA-G	LILRB1
HLA-G	LILRB2
HMGB1	SDC1
HMGB1	THBD
HP	ASGR1
HP	ASGR2
HP	ITGAM
HP	ITGB2
HRAS	AGTR1
HRAS	CAV1
HRAS	GRIN2D
HRAS	INSR
HRAS	SDC2
HRAS	TLR2
HRAS	TLR9
HRG	FCGR1A
HSP90AA1	CFTR
HSP90AA1	EGFR
HSP90AA1	FGFR3
HSPG2	CHRM3
HSPG2	COL13A1
HSPG2	ITGA2
HSPG2	ITGB1
HSPG2	PTPRS
HSPG2	SDC1
IAPP	CALCR
IAPP	RAMP1
IAPP	RAMP2
IAPP	RAMP3
IBSP	ITGAV
ICAM1	CAV1
ICAM1	EGFR
ICAM1	IL2RA
ICAM1	IL2RG
ICAM1	ITGAL
ICAM1	ITGAM
ICAM1	ITGAX
ICAM1	ITGB2
ICAM2	ITGAL
ICAM2	ITGAM
ICAM2	ITGB2
ICAM3	CLEC4M
ICAM3	ITGAD
ICAM3	ITGAL
ICAM3	ITGB2
ICAM4	ITGA2B
ICAM4	ITGA4
ICAM4	ITGAL
ICAM4	ITGAM
ICAM4	ITGAV
ICAM4	ITGB1
ICAM4	ITGB2
ICAM4	ITGB3
ICAM4	RHAG
ICAM5	ITGAL
ICAM5	ITGB2
IFNA10	IFNAR1
IFNA10	IFNAR2
IFNA13	IFNAR1
IFNA13	IFNAR2
IFNA14	IFNAR1
IFNA14	IFNAR2
IFNA16	IFNAR1
IFNA16	IFNAR2
IFNA17	IFNAR1
IFNA17	IFNAR2
IFNA1	IFNAR1
IFNA1	IFNAR2
IFNA21	IFNAR1
IFNA21	IFNAR2
IFNA2	IFNAR1
IFNA2	IFNAR2
IFNA4	IFNAR1
IFNA4	IFNAR2
IFNA5	IFNAR1
IFNA5	IFNAR2
IFNA6	IFNAR1
IFNA6	IFNAR2
IFNA7	IFNAR1
IFNA7	IFNAR2
IFNA8	IFNAR1
